num_personas,destino,origen,minuto_llegada
6,8,10,0
8,4,13,0
10,1,8,0
12,15,10,0
15,14,12,0
15,2,4,0
16,2,10,0
17,12,11,0
19,11,13,0
21,10,9,0
26,4,4,0
31,3,6,0
33,3,2,0
35,9,15,0
37,1,12,0
41,3,15,0
45,10,3,0
47,6,11,0
50,13,8,0
67,1,11,0
74,6,5,0
74,1,3,0
76,8,6,0
81,1,10,0
93,10,14,0
98,12,2,0
103,12,14,0
103,8,6,0
108,12,6,0
108,12,12,0
114,2,10,0
114,10,1,0
119,3,11,0
128,13,14,0
129,11,12,0
135,11,15,0
138,7,12,0
140,14,2,0
142,2,3,0
149,5,13,0
149,13,5,0
150,14,11,0
152,4,4,0
153,15,4,0
155,14,8,0
157,6,15,0
157,9,12,0
157,5,9,0
158,2,5,0
168,9,3,0
172,7,4,0
172,9,4,0
176,8,4,0
186,10,9,0
187,14,6,0
187,12,14,0
192,15,1,0
194,13,13,0
195,8,2,0
5,15,1,1
6,9,11,1
9,5,15,1
9,14,5,1
9,8,1,1
10,9,15,1
14,1,4,1
14,10,10,1
15,6,15,1
17,2,2,1
20,4,5,1
28,9,1,1
33,5,9,1
36,10,2,1
37,12,6,1
40,10,7,1
45,6,5,1
47,3,6,1
49,4,3,1
50,4,9,1
63,2,8,1
63,3,4,1
71,12,6,1
73,15,8,1
74,5,3,1
75,3,8,1
77,12,6,1
79,13,7,1
80,15,4,1
86,9,6,1
90,4,13,1
91,11,4,1
93,10,10,1
95,10,11,1
113,6,5,1
118,13,3,1
125,15,3,1
129,11,12,1
130,7,6,1
135,1,1,1
135,1,9,1
141,14,15,1
141,1,12,1
141,10,6,1
148,7,9,1
149,9,12,1
149,8,6,1
154,2,14,1
158,14,14,1
162,13,13,1
164,10,8,1
166,3,11,1
171,3,10,1
172,7,8,1
174,1,2,1
175,3,7,1
177,10,2,1
177,13,13,1
179,15,14,1
189,8,4,1
10,3,9,2
10,5,14,2
10,6,6,2
16,14,4,2
19,3,13,2
21,3,15,2
22,2,10,2
29,4,1,2
39,7,5,2
42,10,4,2
48,15,1,2
59,10,1,2
59,9,14,2
61,14,1,2
68,7,5,2
73,10,9,2
74,3,2,2
77,13,11,2
79,11,10,2
80,11,7,2
90,8,4,2
107,8,2,2
109,10,3,2
118,10,3,2
121,7,3,2
135,13,2,2
140,10,6,2
150,6,13,2
154,14,14,2
156,14,6,2
160,2,13,2
164,3,15,2
164,2,8,2
164,12,15,2
168,11,14,2
169,1,9,2
174,10,12,2
184,10,4,2
191,2,3,2
194,5,12,2
198,14,3,2
11,8,2,3
11,7,14,3
16,14,8,3
18,13,7,3
29,7,13,3
37,12,13,3
38,10,15,3
39,9,6,3
45,8,8,3
47,6,10,3
63,9,12,3
80,6,13,3
85,7,5,3
88,4,5,3
94,2,4,3
95,12,9,3
104,9,8,3
112,4,3,3
117,14,8,3
143,10,2,3
147,6,15,3
148,13,13,3
163,6,6,3
174,14,12,3
178,1,5,3
189,2,11,3
191,9,14,3
198,4,12,3
3,12,14,4
6,2,12,4
10,14,15,4
11,5,7,4
21,3,8,4
28,5,8,4
46,12,2,4
53,1,4,4
54,2,13,4
69,13,1,4
81,10,7,4
89,12,7,4
92,6,3,4
96,5,11,4
98,13,14,4
104,2,15,4
116,13,3,4
120,15,10,4
122,14,3,4
123,1,7,4
123,13,12,4
125,15,9,4
126,12,12,4
131,9,8,4
133,14,3,4
136,10,4,4
137,7,3,4
155,4,1,4
155,1,4,4
157,8,8,4
169,13,4,4
170,3,2,4
171,8,15,4
178,3,14,4
179,4,11,4
180,3,2,4
182,13,8,4
190,12,11,4
190,5,9,4
194,15,6,4
194,14,1,4
199,14,11,4
1,15,6,5
1,14,3,5
1,5,9,5
12,7,5,5
13,9,6,5
13,14,10,5
15,1,3,5
30,4,5,5
35,11,6,5
37,11,10,5
38,13,15,5
40,14,4,5
43,1,5,5
51,2,12,5
60,3,13,5
60,1,10,5
61,9,11,5
65,15,7,5
67,11,11,5
69,9,12,5
69,10,9,5
74,7,3,5
77,15,6,5
81,10,6,5
88,14,14,5
90,6,11,5
93,7,7,5
94,12,8,5
101,11,14,5
111,15,3,5
119,8,12,5
121,11,1,5
122,5,4,5
123,1,10,5
131,1,11,5
132,9,7,5
136,15,11,5
142,15,12,5
146,9,4,5
160,15,12,5
170,12,9,5
170,7,13,5
171,10,5,5
171,9,15,5
179,5,3,5
181,3,13,5
182,15,11,5
190,2,12,5
197,10,8,5
199,4,5,5
6,7,15,6
8,6,2,6
13,7,5,6
14,4,12,6
24,9,5,6
25,7,7,6
27,2,4,6
31,14,12,6
33,5,4,6
37,4,3,6
42,2,7,6
43,3,2,6
50,2,3,6
52,2,11,6
54,3,2,6
57,1,10,6
64,10,11,6
68,10,10,6
80,10,9,6
83,5,9,6
84,6,2,6
87,7,7,6
93,14,10,6
97,15,1,6
103,1,5,6
116,12,8,6
125,13,12,6
126,8,6,6
130,6,1,6
136,6,4,6
138,10,6,6
140,9,4,6
142,7,14,6
147,12,10,6
153,6,3,6
154,14,10,6
162,8,9,6
168,4,13,6
168,5,6,6
178,2,14,6
184,5,9,6
185,6,13,6
185,3,4,6
187,11,8,6
190,9,13,6
192,3,6,6
195,8,7,6
195,2,10,6
196,7,5,6
3,6,14,7
10,4,14,7
12,2,2,7
14,6,6,7
19,8,11,7
21,8,5,7
33,3,12,7
44,2,5,7
44,3,1,7
47,3,12,7
48,8,14,7
51,6,1,7
55,5,1,7
56,6,9,7
60,7,3,7
61,3,14,7
65,4,14,7
70,14,10,7
74,13,13,7
75,10,15,7
78,8,11,7
83,3,10,7
98,4,1,7
100,7,9,7
101,10,3,7
103,6,1,7
108,10,13,7
117,10,13,7
117,6,13,7
119,7,11,7
130,3,15,7
130,14,6,7
131,9,11,7
133,8,13,7
135,13,7,7
136,12,7,7
136,11,9,7
137,6,10,7
139,7,14,7
152,13,6,7
154,8,5,7
159,11,6,7
159,5,12,7
159,13,14,7
159,6,3,7
159,7,15,7
173,1,3,7
173,12,12,7
181,12,15,7
